tp,meas,sample,image
CT4,1,CT4,lLNv01
CT4,2,CT4,lLNv02-1
CT4,3,CT4,lLNv02-2
CT4,4,CT4,lLNv03
CT4,5,CT4,lLNv04
CT4,6,CT4,lLNv05
CT4,7,CT4,lLNv06
CT4,8,CT4,lLNv08-1
CT4,9,CT4,lLNv08-2
CT4,10,CT4,lLNv09-1
CT4,11,CT4,lLNv09-2
CT4,12,CT4,lLNv10-1
CT4,13,CT4,lLNv10-3
CT4,14,CT4,lLNv11-1
CT4,15,CT4,lLNv12
CT4,16,CT4,lLNv13
CT4,17,CT4,lLNv14-1
CT4,18,CT4,lLNv14-2
CT4,19,CT4,lLNv15
CT4,20,CT4,lLNv16
CT4,21,CT4,lLNv17
CT4,22,CT4,lLNv18
CT4,23,CT4,lLNv19
CT4,24,CT4,lLNv21
CT4,25,CT4,lLNv22
CT16,1,CT16,lLNv01
CT16,2,CT16,lLNv02
CT16,3,CT16,lLNv03-2
CT16,4,CT16,lLNv04
CT16,5,CT16,lLNv05
CT16,6,CT16,lLNv06
CT16,7,CT16,lLNv07
CT16,8,CT16,lLNv08-1
CT16,9,CT16,lLNv08-2
CT16,10,CT16,lLNv10
CT16,11,CT16,lLNv11
CT16,12,CT16,lLNv12
CT16,13,CT16,lLNv13
CT16,14,CT16,lLNv14
CT16,15,CT16,lLNv16
CT16,16,CT16,lLNv17
CT16,17,CT16,lLNv18
CT16,18,CT16,lLNv19
CT16,19,CT16,lLNv20
