 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
1,CT16,13,0010,4.63549837228,3,"[(181.809857132599, 194.821654519224, 10.5946251508712), (194.36602058579, 145.649579425651, 9.09522344557915), (175.949388464237, 119.114341322592, 10.7723165968868)]","[3.5410223848030387, 15.067972626430688, 18.38397856203074]",[],[]
2,CT16,13,0010,8.42325422894,3,"[(181.809857132599, 194.821654519224, 10.5946251508712), (194.36602058579, 145.649579425651, 9.09522344557915), (175.949388464237, 119.114341322592, 10.7723165968868)]","[32.36472232189263, 27.66933106804188, 41.438740586402226]",[],[]
3,CT16,13,0019,5.09621101383,2,"[(211.58499858748, 289.795172985907, 19.4434813786306), (208.566854302696, 246.756931665265, 19.1606858298129)]","[3.6777234059843784, 23.719147451208432]","[(110.291875329215, 158.541739737462, 18.1652737545809), (275.012338014298, 309.207762908661, 19.8984017805872), (165.635588254886, 141.876077695781, 18.3261634792691)]","[103.04853819815456, 20.88896582176655, 83.71700467549154]"
4,CT16,13,0019,8.78025112721,3,"[(211.58499858748, 289.795172985907, 19.4434813786306), (208.566854302696, 246.756931665265, 19.1606858298129), (275.012338014298, 309.207762908661, 19.8984017805872)]","[29.510969569170857, 47.44443897476855, 3.1498730260982852]","[(110.291875329215, 158.541739737462, 18.1652737545809), (165.635588254886, 141.876077695781, 18.3261634792691)]","[68.39600957070907, 28.449211745475246]"
5,CT16,13,0020,5.50312927084,1,"[(147.322781109444, 176.822029261269, 20.3402947208148)]",[2.2678833895535444],"[(211.58499858748, 289.795172985907, 19.4434813786306), (208.566854302696, 246.756931665265, 19.1606858298129), (275.012338014298, 309.207762908661, 19.8984017805872)]","[105.15668357579627, 75.35660835536727, 165.37678714260764]"
6,CT16,13,0020,8.92292915654,1,"[(147.322781109444, 176.822029261269, 20.3402947208148)]",[18.351555823424928],"[(211.58499858748, 289.795172985907, 19.4434813786306), (208.566854302696, 246.756931665265, 19.1606858298129), (275.012338014298, 309.207762908661, 19.8984017805872)]","[66.44392528809335, 45.576884226790085, 129.37298292302265]"
7,CT16,9,0012,5.21642119389,1,"[(160.59297739231, 205.255807059693, 12.544652523253)]",[2.65229784498948],[],[]
8,CT16,9,0012,8.14294568924,1,"[(160.59297739231, 205.255807059693, 12.544652523253)]",[12.043973272080157],[],[]
9,CT16,7,0011,5.40988524231,1,"[(71.377639322287, 200.79266752966, 11.720063507602)]",[2.030954341180035],"[(202.225266156388, 217.034180747767, 10.6719589209017)]",[60.86737419183773]
10,CT16,7,0011,8.87300540858,1,"[(71.377639322287, 200.79266752966, 11.720063507602)]",[32.97736390296734],"[(202.225266156388, 217.034180747767, 10.6719589209017)]",[44.690230319085316]
11,CT16,7,0012,4.78896047486,2,"[(236.622542753156, 243.463848817704, 12.8289768445277), (236.597646936243, 225.670871597345, 12.4796415885343)]","[3.926537768541202, 11.860715702194042]","[(71.377639322287, 200.79266752966, 11.720063507602)]",[107.99407140247655]
12,CT16,7,0012,8.42202769027,2,"[(236.622542753156, 243.463848817704, 12.8289768445277), (236.597646936243, 225.670871597345, 12.4796415885343)]","[23.301514778350484, 36.37892751905686]","[(71.377639322287, 200.79266752966, 11.720063507602)]",[77.90889202843975]
13,CT16,8,0013,4.82923839589,0,[],[],"[(294.293548224909, 175.766862017595, 13.6327383860336)]",[13.746624913438724]
14,CT16,8,0013,8.30872240011,1,"[(294.293548224909, 175.766862017595, 13.6327383860336)]",[15.911400909190615],[],[]
15,CT16,17,0019,4.37760651865,0,[],[],"[(182.899655439392, 238.115113463712, 19.3574784887175), (131.421249848838, 192.999036113066, 18.990344523491)]","[5.0513517622107695, 69.57352400229568]"
16,CT16,17,0019,7.4523697695,1,"[(182.899655439392, 238.115113463712, 19.3574784887175)]",[17.998487028403947],"[(131.421249848838, 192.999036113066, 18.990344523491)]",[43.45014280170971]
