 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
1,CT16,13,0010,4.63549837228,3,"[(176.897642851405, 118.784088507619, 9.92021951645797), (171.644979580656, 163.250478265108, 7.44323774839185), (198.944476100342, 127.816961913969, 8.12631261923761)]","[17.625776479274872, 8.495816152568361, 7.219461333754254]","[(228.575396952962, 249.316576727791, 11.2875017123421), (123.052425718016, 152.229104764375, 12.8245757454461)]","[68.49936706423448, 26.973434349701357]"
2,CT16,13,0010,8.42325422894,4,"[(176.897642851405, 118.784088507619, 9.92021951645797), (123.052425718016, 152.229104764375, 12.8245757454461), (171.644979580656, 163.250478265108, 7.44323774839185), (198.944476100342, 127.816961913969, 8.12631261923761)]","[41.48722318964844, 4.553489990181463, 50.33706059339559, 21.610520451825316]","[(228.575396952962, 249.316576727791, 11.2875017123421)]",[20.13711032964108]
3,CT16,13,0019,5.09621101383,3,"[(182.23178078547, 244.374210241866, 21.8117332065239), (228.060999643172, 240.307322904843, 16.7934482133832), (250.334500859485, 287.483236921501, 18.52266783787)]","[3.6316544171600906, 10.522137726201695, 11.533949528102022]","[(97.1550491467322, 147.229346865878, 19.0613724067018), (120.074524654295, 202.15566032343, 16.3082199654597), (103.224075459495, 208.341320098064, 20.9688659451882), (87.4832539033065, 191.413755133052, 16.6656517314055), (87.812592092251, 137.174450432759, 18.3345615194498)]","[120.3618077253033, 70.3962392852984, 83.22093216455227, 104.47966569053416, 133.93182101912848]"
4,CT16,13,0019,8.78025112721,3,"[(182.23178078547, 244.374210241866, 21.8117332065239), (228.060999643172, 240.307322904843, 16.7934482133832), (250.334500859485, 287.483236921501, 18.52266783787)]","[21.73791644158007, 40.85380621082952, 34.456481487939925]","[(97.1550491467322, 147.229346865878, 19.0613724067018), (120.074524654295, 202.15566032343, 16.3082199654597), (103.224075459495, 208.341320098064, 20.9688659451882), (87.4832539033065, 191.413755133052, 16.6656517314055), (87.812592092251, 137.174450432759, 18.3345615194498)]","[84.06956932243077, 50.679264862034, 64.65582642170398, 84.99488750457125, 95.87346299770024]"
5,CT16,13,0020,5.50312927084,4,"[(97.1550491467322, 147.229346865878, 19.0613724067018), (103.224075459495, 208.341320098064, 20.9688659451882), (87.812592092251, 137.174450432759, 18.3345615194498), (99.6630827839325, 166.331101178006, 22.0422060550504)]","[21.883589672444806, 13.534328844048549, 9.613459984612446, 26.497409882081705]","[(182.23178078547, 244.374210241866, 21.8117332065239), (250.334500859485, 287.483236921501, 18.52266783787), (205.383983883605, 265.006821914603, 22.7819495751777)]","[52.431644242499615, 132.61444175094297, 83.4433822435433]"
6,CT16,13,0020,8.92292915654,4,"[(97.1550491467322, 147.229346865878, 19.0613724067018), (103.224075459495, 208.341320098064, 20.9688659451882), (87.812592092251, 137.174450432759, 18.3345615194498), (99.6630827839325, 166.331101178006, 22.0422060550504)]","[44.36981613651159, 34.46416095797166, 38.82682951864116, 53.692218028061006]","[(182.23178078547, 244.374210241866, 21.8117332065239), (250.334500859485, 287.483236921501, 18.52266783787), (205.383983883605, 265.006821914603, 22.7819495751777)]","[19.13470025189838, 97.35053416030993, 47.09567682174455]"
7,CT16,9,0012,5.21642119389,3,"[(185.817001075674, 191.704078347517, 10.3293188259577), (180.783854855022, 193.848630765617, 11.3330992937176), (200.39490356527, 134.177314068715, 9.38324610916782)]","[13.8754588707896, 11.881863091421108, 8.099683923004147]","[(186.795505735827, 254.542905085274, 14.9001078686787)]",[48.820326746334224]
8,CT16,9,0012,8.14294568924,3,"[(185.817001075674, 191.704078347517, 10.3293188259577), (180.783854855022, 193.848630765617, 11.3330992937176), (200.39490356527, 134.177314068715, 9.38324610916782)]","[32.696160076512335, 30.79381418439591, 18.84985936443746]","[(186.795505735827, 254.542905085274, 14.9001078686787)]",[30.118102366224527]
9,CT16,7,0011,5.40988524231,6,"[(95.8252448758335, 147.693035163599, 10.06483608955), (152.490276543177, 182.209065880615, 9.93530840467692), (78.8035599355806, 139.716230953617, 10.2652894560156), (80.602054087971, 160.175329308096, 8.23177711210117), (101.525842584598, 180.509946852855, 8.10197744565654), (138.354723937832, 181.055555442097, 13.86805903655)]","[12.600056703185508, 1.2561031049336036, 4.218263688458052, 14.236294308412232, 25.33098742635389, 12.267248840671597]","[(199.43084684435, 191.37587570779, 12.1678630127702), (201.548497296429, 216.199238087416, 9.78068517168006)]","[49.05357343433384, 59.89906168618663]"
10,CT16,7,0011,8.87300540858,6,"[(95.8252448758335, 147.693035163599, 10.06483608955), (152.490276543177, 182.209065880615, 9.93530840467692), (78.8035599355806, 139.716230953617, 10.2652894560156), (80.602054087971, 160.175329308096, 8.23177711210117), (101.525842584598, 180.509946852855, 8.10197744565654), (138.354723937832, 181.055555442097, 13.86805903655)]","[33.39755144863641, 10.458527603553478, 31.681448370500988, 52.15213791389448, 46.43249419231758, 24.31604891954728]","[(199.43084684435, 191.37587570779, 12.1678630127702), (201.548497296429, 216.199238087416, 9.78068517168006)]","[37.11505831231064, 43.95785969311808]"
